,,
Code,Country,Average Litres drunk per person since 2010
ARG,Argentina,7.85
AUS,Australia,10.10
AUT,Austria,11.62
BEL,Belgium,9.89
BRA,Brazil,9.10
CHL,Chile,7.15
COL,Colombia,4.26
CRI,Costa Rica,3.32
DEU,Germany,11.09
DNK,Denmark,10.01
EST,Estonia,11.01
FIN,Finland,8.65
FRA,France,11.58
GRC,Greece,7.10
HRV,Croatia,10.40
HUN,Hungary,10.85
IND,India,2.89
IRL,Ireland,10.76
ISL,Iceland,7.24
KOR,Korea,8.56
LUX,Luxembourg,11.48
LVA,Latvia,10.99
MEX,Mexico,4.34
NLD,Netherlands,8.47
NOR,Norway,6.37
PER,Peru,5.75
SVN,Slovenia,10.45
TUR,Turkiye,1.42
UKR,Ukraine,6.93
USA,United States,8.92
ZAF,South Africa,7.25
